"text","spam"
"Subject: ( no subject )  copy any dvd movie using your cd  burner now !  copy dvd now makes it  possible to copy  dvd on cd - r using your computer ' s  cd burner .  you may now copy dvd movie with just one click .  we provide latest and easiest method that eliminates the  use  of conventional dvd copying equipments in dvd burning  process .  this method uses advanced dvd rippers .  copy dvd movies to cd - r ,  encode dvd  to vcd , svcd , xvcd or xsvcd and even create your own  chapters .  all you need is dvd  rom , cd burner and blank  cd ' s .  why spend thousands of  dollars on conventional  dvd copying equipment when you may burn and copy dvd ' s right from  your computer ' s  cd burner .  you  can copy any dvd to cd - you get manual and software  both  copy your dvd ( pal or ntsc ) to cd using your cd burner  make backup copy of dvd to cd - r or cd - rw  play movie from computer , computer to tv or on  any standard dvd player  make backup of your entire dvd collection  make vcd , svcd , xvcd or xsvcd in one click  only .  you may even fit entire dvd on one cd !  create chapters or time intervals on vcd or svcd  no need of having 6 - 8 gb free hard disk space !  what you get in the  package  our interactive manual will walk you through the entire  process of  copying dvd as vcd , svcd , xvcd or xsvcd .  you will be ripping dvd ' s and burning them to cd ' s like a  pro once  you have gone through this easy to follow manual . we have  also included  screenshots for additional clarity to use .  instant downloadable access to the software . stop waiting  for the product to arrive  in mail .  everything is provided to help you start copying your dvd ' s  right  away ! all you need to have is dvd rom , cd burner and few  blank cd ' s !  that ' s it . no dvd burner or dvd copying equipment is  required !  and that ' s not all ! if you buy it now you get free  updates  and upgrades for life ! plus other bonuses .  you get everything needed  to right  away start  copying and burning your dvd to cd .  instant download !  win 95 / 98 / me / nt / 2000 / xp compliant  limited time offer ! ! ! only  $ 39 . 95  to order the dvd burner right now for the super low price of only  $ 39 . 95  with a visa or mastercard ,  just fill out the order form below .  free  bonus # 1  buy  today and you get free updates for life !  if you buy our package now , we will provide you upgrades  and updates  to all future versions of copydvd now absolutely free ! !  this offer alone will save you tons of money for future  upgrades and  keep you updated with the technology .  a  real win win situation ! !  free  bonus # 2  introducing a new technology that  pc magazine calls "" revolutionary "" and the new york times  calls "" ingenious . ""  access  and control your pc from anywhere in the world  with almost any operating  system . begin working on your host computer as if you were  sitting  in front of it .  this  product is the cnet editors ' choice pick for remote  access , and they say  "" you ' d be nuts not to sign up ""  you get free 30 day trial when you buy our package of  copydvdnow today .  more info  join our mailing list to be first to know about fresh  quality  programs and utilities . our list includes selected , tested and  quality freeware , shareware and other software only .  * legal disclaimer *  it is illegal to make copies of copyright material for the purpose  of  selling it to third party . law provides you to make one back up  copy for  personal use . we do not encourage or promote piracy . this program  is not  meant for those who intend to break copy right law and indulge in  illegal  activities . this program serves merely as a guide to help end user  to  backup his personal dvd ' s . all applications suggested in this  package are  not sold as a part of this kit but are freeware and can be  downloaded for  free . by purchasing this package you agree to this disclaimer and  also  agree to use it in most ethical manner . you agree to waive all  liabilities  associated with this program to the provider and associates .  order today . . satisfaction is guaranteed or your money back !  only  $ 39 . 95 !  order  formipping  first name :  last name :  street address :  city , state , zip :  ,  company :  e - mail :  phone :  comments :  credit card type : ( vvvv wwww  xxxx yyyy zzzz )  visamastercard  card number :  expiration date :  3121 wkca 6 - 841 pmnzll 6",1
"Subject: new love tabs shop .  visit our llcensed online dragstore for the best inexpensive love drags ! viagra , ciaiis , softtabs and many other love enhancers ail in one !  operative support , fast shipping , secure payment processing and compiete confidentiaiity !  ciick here to find your verlfled by bbb and approved by vlsa iove pil 1 ! ",1
"Subject: you have won !  the prize award department  continental lotteries s . a .  c / o ? donnell 306 ,  28830 madrid  spain .  ref : cl / es / 1026 - 9172  batch : 31 - 2404 / 05  29 - 06 - 2005 .  winning notification .  congratulations first category prize winner ! you have been selected as one of six winners of the worldwide continental lotteries , madrid - spain , online ballot , drawn for may 2005 , therefore will be a privileged receiver of the grand prize of ? 531 , 220 . 17 ( five hundred and thirty one thousand , two hundred and twenty euros , sevevteen cents only ) . your e - mail address was attached to the winning number 5 - 11 - 14 - 20 - 31 - 45 . draw serial : 055 . this lottery is promoted and sponsored by multinationals companies of the european union . we in the worldwide continental lotteries , spain is by this program , diversifying our online balloting lotteries draws , developed and designed to satisfy the cravings of the ever growing number of participants in our various programs . with funds accrued from previous draws and unclaimed prizes , payouts to all winners is guaranteed and payments in a record time .  after randomly selecting 25 , 000 participants from an initial database of  4 . 500 . 000 emails and zonings , by their respective continents from across  the world , we produced an extensive list from which you have emerged as  one of the lucky winners of the grand draw prize .  to process your winnings and prize payment , you are to get in contact  with ;  mr . jorge diaz ( prize claims handler )  e - mail : diazge @ yahoo . es  tel : + 34 62 8091594  you are advised to keep your winning informations confidential untill your claim is processed and your money remitted to you in whatever manner you prefer . this is in line with our security policies , to avoid double claims and misapropriations of the lottery funds as it has happened in the past .  direct all further communications and enquiries to your category  prize claim handler and remember to include your reference and batch numbers .  congratulations once again from continental lotteries . thank you for being part of our promotional program .  note : do not reply to this mail address , contact your claim handler .  sincerely ,  javier ochoa suarez  international online coordinator",1
"Subject: award winning notification  netherlands national promotion .  dayzers prime lottery  venlo the netherlands .  www . dayzers . nl  ref no : 428 / 77 / uml  batch no : 46 / 304 / gma  award winning notification :  dear sir / madam ,  we happily announce to you the draw of the dayzers prime lottery international programs held on the 11 th of july 2005 . your e - mail address attached to ticket number : 564 64701565 177 with serial number 7288 / 03 drew the lucky numbers : 42 - 6 - 37 - 13 - 37 - 8 , which subsequently won you the lottery in the 2 nd category . you have therefore been approved to claim a total sum of ( $ 1 , 000 , 000 . 00 ) one million united states dollars .  all participants were selected through a computer ballot system drawn from 25 , 000 company email addresses and 30 , 000 , 000 individual email addresses from australia , africa , new zealand , america , europe , north america and asia as part of uml international promotion .  congratulations ! ! ! due to mix up of some numbers and names , you are advised to keep your winning information confidential until your claims has been processed and your money remitted to your nominated bank . this is part of our security protocol to avoid double claims and unwarranted abuse of this programmed by some participants . all participants were selected through an e - mail balloting . this promotional programm takes place every two years . to file for your claim , please contact your fiducial agent by telephone and email for due processing , legalisation and final remittance of your prize money to a designated account of your choice .  claim fiducial agent  mr . porter williams .  email : dayzerslotterij @ walla . com  tel : 0031 624 759 973 .  remember , all winning must be claimed not later than 25 th july 2005 . after this date , all funds will be returned as unclaimed . please note , in order to avoid unnecessary delays and complications , remember to quote your reference number and batch number in all correspondence . furthermore , should there be any change of address do inform us as soon as possible .  note : to enhance the processing of your claim by your processing officer , you are advised to officially introduce yourself to the claim agent and also provide them with your valid means of your personal identification with a copy of this awards notification for references .  congratulations once more from our members of staff and thank you for being part of our promotional program .  mrs . loretha waxle ,  international lottery coordinator .  check - out go . com  go get your free go e - mail account with expanded storage of 6 mb !  http : / / mail . go . com",1
"Subject: penis enlargement announcement  the penis patch is amazing  http : / / www . okmpoi . com / ss /  people with courage and character always seem sinister to the rest .  the end result of kindness is that it draws people to you .  my favorite animal is steak .  if we don ' t chase things - - sometimes the things following us can catch up .  successful people are very lucky . just ask any failure .",1
"Subject: save your money buy getting this thing here  you have not tried cialls yet ?  than you cannot even imagine what it is like to be a real man in bed !  the thing is that a great errrectlon is provided for you exactly when you want .  ciaiis has a iot of advantaqes over viaqra  - the effect lasts 36 hours !  - you are ready to start within just 10 minutes !  - you can mix it with alcohol ! we ship to any country !  get it right now ! . ",1
"Subject: i missed you 24632  if amateurs is what you want , then we have them .  take a look at these hardcore sites . young hottt teens ! ! !  these are the best of the best when it comes to amateurs .  don ' t believe me ? take a look for yourself .  amateur petite  - - - - - - - - - - - - - - - - - - - - - - -  all natural tight coeds ! ! !  petite natural breasted amateurs ! !  exclusive amateur xxx videos ! ! !  hundreds of exclusive petite amateur models ! !  click here to check out the action ! ! ! !  http : / / tour 2 . amateurpetite . com / ? 1087  http : / / tour 2 . amateurpetite . com / ? 1087  ample amateurs  - - - - - - - - - - - - - - - - - - -  breasts . women have them , men love them . and for some men ( and women ! ) that old adage  "" the bigger the better "" holds true ! and you ' ll find plenty to hold on to here - our stable of stacked  exclusive ample amateurs will make your mouth water and your hands tired just looking at them !  http : / / tour 2 . ampleamateurs . com / ? 1087  http : / / tour 2 . ampleamateurs . com / ? 1087  amateur smut  - - - - - - - - - - - - - - - - - -  the smuttiest xxx amateurs on the web ! ! !  real amateurs in explicit photo shoots  1 , 000 ' s of high quality smut pics ! ! !  pics of "" the horny girl next door ""  nasty amateurs gone wild ! ! !  http : / / tourl . amateursmut . com / ? 1087  http : / / tourl . amateursmut . com / ? 1087  to be taken off this mailing list , simply hit your  reply button and put "" remove "" anywhere in the subject .",1
"Subject: localized software , all languages available .  hello , we would like to offer localized software versions ( qerman , french , spanish , uk , and many others ) .  all listed software is available for immediate downioad !  no need to wait 2 - 3 week for cd deiivery !  just few exampies :  - norton internet security pro 2005 - $ 29 . 95  - windows xp professionai with sp 2 full version - $ 59 . 95  - corel draw graphics suite 12 - $ 49 . 95  - dreamweaver mx 2004 ( homesite 5 . 5 inciudinq ) - $ 39 . 95  - macromedia studio mx 2004 - $ 119 . 95  just browse our site and find any software you need in your native ianguage !  best reqards ,  karine ",1
"Subject: presenting funding with ease  the mort . . gage rates our company offers you are the lowest in 40 years !  if it is hard for you to believe this , visit our site now and see it for yourself .  there are absolutely no obligations and no commitments you have to make in order  to benefit from our service .  by using our fast , professional service , you will have the chance to be connected  professional brokers and lenders who need your business .  please fill the application below :  it takes 30 seconds only !  http : / / nineteenshots . com / realtor /  enjoy and have a nice day !  michael rickards  no more ?  http : / / nineteenshots . com / no /",1
"Subject: we have been rated as # 1 one - stop - shop internet pharmacy .  get prescription medicine for less !  religions change ; beer and wine remain .  you cannot keep a man down without staying down with him .  the sands are number ' d that make up my life .",1
"Subject: want to make a million ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !  want to make a million bucks this year ?  me too but it ' s probably not going happen !  however if your looking for the opportunity to  make a couple thousand a week ,  working form home , with your pc , we need to talk .  if you ' re over 18 and a us resident ,  just click reply  send me your name , state ,  complete telephone number ,  and the best time to contact you .  i will personally speak with you within 48 hours .  - - - -  this sf . net email is sponsored by : thinkgeek  welcome to geek heaven .  http : / / thinkgeek . com / sf  spamassassin - sightings mailing list ",1
"Subject: impress your girl with a huge cumshot !  heya !  has your cum ever dribbled and you wish it had shot out ?  have you ever wanted to impress your girl with a huge cumshot ?  spur - m is the only site to offer an all natural male enhancement  formula that is proven to increase your sperm volume by up to 500 % .  our highly potent , volume enhancing formula will give our results  in days and comes with an impressive 100 % guarantee .  imagine the difference ( look and feel ) between dribbling your cum  compared to shooting out burst after burst . try spur - m now ! and  with our money back guarantee you have absolutely nothing to lose !  look here : http : / / tabboulehs . net / cum /  no thanks : http : / / tabboulehs . net / rr . php",1
"Subject: greatly improve your stamina  the longz system , both the capsules and the free instructional manual , give  you the most effective ways to reach immediate size gains and improve the  strength and power of your erections .  90 % of males were interested in improving their sexual stamina ,  performance , and the size of their manhood . are you one of the 90 % ?  i want to let u guys know that i have seen over 1 inch in length increase  since i started taking ur system . the exercises are easy too . i use them  both and this is awesome . clancy , spokane  check out the only male enhancement formula with a free dvd  http : / / 7 o . wc . hugevirtuousitems . com / k /  not for you , then use link above  then he examined his map of europe . i believe i ' ll take a run over to  paris , he thought  i must be home again by saturday , to meet the demon , so i ' ll have to make  every day count",1
"Subject: the penis patch is amazing  the penis patch is amazing  http : / / www . gretan . com / ss /  who can believe that there is no soul behind those luminous eyes !  nobody cares if you can ' t dance well . just get up and dance .  no man is happy who does not think himself so .  though this be madness , yet there is method in ' t .  hell has no benefits , only torture .",1
"Subject: very sspecial offr  hello , welcome to pharmon blaspheme line s numeral hop  - one of the leading oniine pharmaceuti whether cal shops  phantasmagoria v  tercet g  rencontre al  l humect l  l perpetuation a  debtor ra mountain cl  i plenipotentiary sv dissert a  u trecento m  andmanyother .  - save ov vestry er 50 %  - worldwide misconceive shlpplng  - total confidentiaii unmarried ty  - over 5 miiiion customers vitalism in 130 countries  have a n viscid ice day !",1
"Subject: delivery status notification ( failure )  this is an automatically generated delivery status notification .  delivery to the following recipients failed .  magnus . hammar @ hes . hammars . com",1
"Subject: delivery status notification  - these recipients of your message have been processed by the mail server :  maubev @ aliceposta . it ; failed ; 5 . 7 . 1 ( delivery not authorized , message refused )  maxdaffy @ aliceposta . it ; failed ; 5 . 7 . 1 ( delivery not authorized , message refused )",1
"Subject: the database that bill gates doesnt want you to know about ! ! ! ! !  important notice : regarding your domain name  * if you own a . com / . net / . org , you are advised to register  your . ws "" web site "" domain before someone else takes it forever .  * major corporations such as yahoo , att & intel , have all  registered their . ws "" web site "" domains for their company names  as well as all their trademarks , to protect them forever .  * . ws "" web site "" domains are in 180 + countries worldwide  * availability for . ws is ~ 88 % compared to ~ 24 % for . com  we thought you ' d find the article on . ws below interesting .  if you want more information on where to register . ws "" web site ""  domains , and how to get a discount on multiple registrations ,  contact us at http : / / www . netleads . ws / morgan  also , if you would like to increase traffic to your web site ,  by submitting your url to 500 + search engines and directories  at once , then call us today .  sincerely ,  joe & stacy morgan  + 1 . 888 . 660 . 0625  internet names , llc .  # # # # # # # # # # # # # # # # # # # # # # # # #  news release :  . ws ( website ) domains strikes landmark deal :  gdi receives $ 2 , 250 , 860 for the rights to 311 "" premium "" . ws domain  names .  - - -  last week , gdi ( global domains international , inc . ) , the registry for . ws  "" web site "" domains , closed a deal with a large publicly traded company ,  one of the biggest players in the . com arena , and received payment in  full of $ 2 , 250 , 860 for the rights to a select group of "" premium "" . ws  domain names . the 311 domain names will be resold to the highest  bidders and ultimately developed into substantial . ws web sites , giving  . ws even more publicity down the road .  to be be removed http : / / www . netleads . ws / remove",1
"Subject: you don _ t know how to get into search engine results ?  submitting your website in search engines may increase  your online sales dramatically .  lf you invested time and money into your website , you  simply must submit your website  oniine otherwise it wili be invisibie virtualiy , which means efforts spent in vain .  lf you want  people to know about your website and boost your revenues , the oniy way to do  that is to  make your site visible in places  where people search for information , i . e .  submit your  website in muitipie search engines .  submit your website oniine  and watch visitors stream to your e - business .  best regards ,  norasweeney _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",1
